country,continent,capital,language
Andorra,Europe,Andorra la Vella,Catalan
United Arab Emirates,Asia,Abu Dhabi,Arabic
Afghanistan,Asia,Kabul,Pashto
Antigua and Barbuda,America,Saint John's,English
Anguilla,America,The Valley,English
Albania,Europe,Tirana,Albanian
Armenia,Asia,Yerevan,Armenian
Angola,Africa,Luanda,Portuguese
Argentina,America,Buenos Aires,Spanish
American Samoa,Oceania,Pago Pago,English
Austria,Europe,Vienna,German
Australia,Oceania,Canberra,English
Aruba,America,Oranjestad,Dutch
Azerbaijan,Asia,Baku,Azerbaijani
Bosnia and Herzegovina,Europe,Sarajevo,Bosnian
Barbados,America,Bridgetown,English
Bangladesh,Asia,Dhaka,Bengali
Belgium,Europe,Brussels,Dutch
Burkina Faso,Africa,Ouagadougou,French
Bulgaria,Europe,Sofia,Bulgarian
Bahrain,Asia,Manama,Arabic
Burundi,Africa,Bujumbura,French
Benin,Africa,Porto-Novo,French
Saint Barthélemy,America,Gustavia,French
Bermuda,America,Hamilton,English
Brunei,Asia,Bandar Seri Begawan,Malay
Bolivia,America,Sucre,Spanish
Bonaire,America,Kralendijk,Dutch
Brazil,America,Brasília,Portuguese
Bahamas,America,Nassau,English
Bhutan,Asia,Thimphu,Dzongkha
Botswana,Africa,Gaborone,English
Belarus,Europe,Minsk,Belarusian
Belize,America,Belmopan,English
Canada,America,Ottawa,English
Democratic Republic of the Congo,Africa,Kinshasa,French
Central African Republic,Africa,Bangui,French
Republic of the Congo,Africa,Brazzaville,French
Switzerland,Europe,Bern,German
Ivory Coast,Africa,Yamoussoukro,French
Cook Islands,Oceania,Avarua,English
Chile,America,Santiago,Spanish
Cameroon,Africa,Yaoundé,English
China,Asia,Beijing,Chinese
Colombia,America,Bogotá,Spanish
Costa Rica,America,San José,Spanish
Cuba,America,Havana,Spanish
Cape Verde,Africa,Praia,Portuguese
Curacao,America,Willemstad,Dutch
Christmas Island,Asia,Flying Fish Cove,English
Cyprus,Europe,Nicosia,Greek
Czech Republic,Europe,Prague,Czech
Germany,Europe,Berlin,German
Djibouti,Africa,Djibouti,French
Denmark,Europe,Copenhagen,Danish
Dominica,America,Roseau,English
Dominican Republic,America,Santo Domingo,Spanish
Algeria,Africa,Algiers,Arabic
Ecuador,America,Quito,Spanish
Estonia,Europe,Tallinn,Estonian
Egypt,Africa,Cairo,Arabic
Western Sahara,Africa,El Aaiún,Spanish
Eritrea,Africa,Asmara,Tigrinya
Spain,Europe,Madrid,Spanish
Ethiopia,Africa,Addis Ababa,Amharic
Finland,Europe,Helsinki,Finnish
Fiji,Oceania,Suva,English
Falkland Islands,America,Stanley,English
Micronesia,Oceania,Palikir,English
Faroe Islands,Europe,Tórshavn,Faroese
France,Europe,Paris,French
Gabon,Africa,Libreville,French
United Kingdom,Europe,London,English
Grenada,America,St. George's,English
Georgia,Asia,Tbilisi,Georgian
French Guiana,America,Cayenne,French
Guernsey,Europe,St. Peter Port,English
Ghana,Africa,Accra,English
Gibraltar,Europe,Gibraltar,English
Greenland,America,Nuuk,Greenlandic
Gambia,Africa,Banjul,English
Guinea,Africa,Conakry,French
Guadeloupe,America,Basse-Terre,French
Equatorial Guinea,Africa,Malabo,Spanish
Greece,Europe,Athens,Greek
Guatemala,America,Guatemala City,Spanish
Guam,Oceania,Hagåtña,English
Guinea-Bissau,Africa,Bissau,Portuguese
Guyana,America,Georgetown,English
Hong Kong,Asia,City of Victoria,Chinese
Honduras,America,Tegucigalpa,Spanish
Croatia,Europe,Zagreb,Croatian
Haiti,America,Port-au-Prince,French
Hungary,Europe,Budapest,Hungarian
Indonesia,Asia,Jakarta,Indonesian
Ireland,Europe,Dublin,Irish
Israel,Asia,Jerusalem,Hebrew
Isle of Man,Europe,Douglas,English
India,Asia,New Delhi,Hindi
British Indian Ocean Territory,Asia,Diego Garcia,English
